id,tanggal,tipe_mesin,kode_error,gejala (pisahkan dengan ';'),jenis_kerusakan (label),komponen_utama,tindakan_perbaikan,konfirmasi_teknisi (Y/N),catatan
11,2026-02-02,Canon iRA 4051,E014-0002,"During motor rotation, detection is executed every 100 msec; however, the drive signal is absent 5 times in sequence.",Fixing,Fixing Unit / Fuser,1. Check connection of the Connector (J2001/J203).; 1. Replace the Fixing Motor (M2).; 2. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Unstable rotation of the Fixing Motor (M2)
12,2026-02-02,Canon iRA 4051,E020-0000,"The Developing Assembly Toner Sensor (S25) detects the absence of toner, while the Sub Hopper Toner Sensor (S26) detects the presence of toner.With the Developing Cylinder Clutch (CL3) turned on, the hopper feed screw motor (M16) is rotated for 1 sec intermittently 194 times; still, the Developing Assembly Toner Sensor (S25) does not detect the presence of toner.* Error occurs after the delivery if a paper in passage exists.",System Error,System,"1. Check the rotation of hopper motor gear. (If rotating, false detection by the sensor is doubted. Feed the toner to the developing unit in service mode: COPIER > FUNCTION > INSTALL > TONER-S.); 2. Replace the Developing Assembly T oner Sensor (S25).; 3. Replace the Sub Hopper Toner Sensor (S26).; 4. Replace the DC Controller PCB (UN2).E CodeDetail CodeLocation Item Description",Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:The path between the sub hopper and the developing
13,2026-02-02,Canon iRA 4051,E024-0000,The Developing Assembly Toner Sensor (S25) connection detection signal is absent for 100 msec 10 times in sequence.* Error occurs after the delivery if a paper in passage exists.,Sensor,Sensor,1. Check connection of the Connector (J2013/J209).; 2. Replace the Developing Assembly T oner Sensor (S25).; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:The connector of Developing Assembly Toner Sensor (S25) is
14,2026-02-02,Canon iRA 4051,E024-0001,"<At LOW SPEED> The Developing Assembly Toner Sensor (S25) ON counter is checked every 2.5 seconds, and the counter increments 1 count every 25 times when the sensor goes on, and 300 counts are reached. <At HIGH SPEED> The Developing Assembly Toner Sensor (S25) ON counter is checked every 1.5 seconds, and the counter increments 1 count every 15 times when the sensor goes on, and 300 counts are reached.",System Error,System,1. Check connection of the Connector (J2013/J209).; 2. Replace the Developing Assembly T oner Sensor (S25).; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:The Developing
15,2026-02-02,Canon iRA 4051,E025-0000,The Sub Hopper Toner Sensor (S26) connection detection signal is absent for 100 msec 10 times in sequence.* Error occurs after the delivery if a paper in passage exists.,System Error,System,1. Check connection of the Connector (J2115/J2503/J207).; 2. Replace the Sub Hopper Toner Sensor (S26).; 3. Replace the DC Controller PCB (UN2).; 4. Replace the Power Supply PCB (UN1).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:The connector of Sub Hopper
16,2026-02-02,Canon iRA 4051,E025-0001,When the disconnection status of the bottle motor (M17) is detected 15 times or more continuously with the 100ms cycle during the intermittent rotationWhen the disconnection status of the bottle motor (M17) is detected 75 times continuously with the 100ms cycle during the continuous rotation* Error occurs after delivering the remaining paper.,Motor,Motor,1. Check connection of the Connector (J2216/J2503/J207).; 2. Replace the Bottle Motor (M17).; 3. Replace the DC Controller PCB (UN2).; 4. Replace the Power Supply PCB (UN1). 7 7 7-5 7-5Error Code > Error Code > Error Code Details > E000 to E5F6 Error Code > Error Code > Error Code Details > E000 to E5F6E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Failure of the Bottle Motor (M17)
17,2026-02-02,Canon iRA 4051,E032-0001,Detection of open circuit of count pulse signal.,Controller/PCB,Main Controller / DC Controller PCB,Disconnection of cable.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Failure of NE Controller Counter
18,2026-02-02,Canon iRA 4051,E110-0001,The Polygon Motor (M11) speed lock signal does not indicate a locked state a specific period of time after the Polygon Motor (M11) has been started.* The same condition is detected after the error retry is performed.,Laser/Scanner,Laser Scanner Unit,1. Check connection of the Connector (J1/J7/J10/J21/J208/J8142/J8143).; 2. Replace the Laser Scanner Unit.; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Failure of the Polygon Motor (M11)
19,2026-02-02,Canon iRA 4051,E110-0002,The speed lock signal indicates a deviation 10 times in sequence at intervals of 100 msec after the signal has indicated a locked state.* The same condition is detected after the error retry is performed.,Laser/Scanner,Laser Scanner Unit,1. Check connection of the Connector (J1/J7/J10/J21/J208/J8142/J8143).; 2. Replace the Laser Scanner Unit.; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Failure of the Polygon Motor (M11)
20,2026-02-02,Canon iRA 4051,E110-0003,The Polygon Motor (M11) speed lock signal does not indicate a locked state for 6.5 sec. after a switchover is made from low to normal speed or for 8 sec. after a switchover is made from normal to low speed.* The same condition is detected after the error retry is performed.,Laser/Scanner,Laser Scanner Unit,1. Check connection of the Connector (J1/J7/J10/J21/J208/J8142/J8143).; 2. Replace the Laser Scanner Unit.; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Failure of the Polygon Motor (M11)
21,2026-02-02,Canon iRA 4051,E196-0000,20 retries failed after error occurred during communication with EEPROM.* Error occurs after the delivery if a paper in passage exists.,System Error,System,Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Error in EEPROM access
22,2026-02-02,Canon iRA 4051,E196-0001,The main ROM reading or writing error occurs.,System Error,System,Replace the DC controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Main ROM reading/writing error
23,2026-02-02,Canon iRA 4051,E196-0002,The option ROM reading or writing error occurs.,System Error,System,Replace the DC controller PCB (UN2).E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Option ROM reading/writing error
24,2026-02-02,Canon iRA 4051,E197-0000,Communication error with image PCB (For factory) Communication time out error between DC Controller PCB and Main Controller PCB 2,Laser/Scanner,Laser Scanner Unit,1. Check the cable.; 2. Replace the Laser Scanner Unit.; 3. Replace the DC Controller PCB (UN2).; 4. Replace the Main Controller PCB 2 (UN14),Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Error in communication of Laser Driver PCB
25,2026-02-02,Canon iRA 4051,E197-0001,Communication error with image PCB for factory (Serial communication error),Laser/Scanner,Laser Scanner Unit,1. Check the cable.; 2. Replace the Laser Scanner Unit.; 3. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Error in communication of Laser Driver PCB
26,2026-02-02,Canon iRA 4051,E202-0001,The attempt to detect the home position fails when the CCD is moved forward.,System Error,System,1. Disconnect and then connect the flexible cable(Reader Controller PCB (UN4)-Main Controller PCB 2 (UN14)).; 2. Replace the flexible cable.; 3. Replace the CCD HP sensor (S11).; 4. Replace the Polygon Motor (M11).; 5. Replace the Reader Controller PCB (UN4).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:There is an error in the detection of the CCD home position.
27,2026-02-02,Canon iRA 4051,E202-0002,The attempt to detect the home position fails when the CCD is moved back.,System Error,System,1. Disconnect and then connect the flexible cable(Reader Controller PCB (UN4)-Main Controller PCB 2 (UN14)).; 2. Replace the flexible cable.; 3. Replace the CCD HP sensor (S11).; 4. Replace the Polygon Motor (M11).; 5. Replace the Reader Controller PCB (UN4).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:There is an error in the detection of the CCD home position.
28,2026-02-02,Canon iRA 4051,E225-0000,The light intensity of the CCD during shading is under the specified level.,System Error,System,1. Disconnect and then connect the flexible cable.; 2. Replace the flexible cable.; 3. Replace the CCD Unit.; 4. Replace the Reader Controller PCB (UN4).; 5. Replace the Main Controller PCB 2 (UN14). 7 7 7-6 7-6Error Code > Error Code > Error Code Details > E000 to E5F6 Error Code > Error Code > Error Code Details > E000 to E5F6E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:The light intensity of the CCD is faulty
29,2026-02-02,Canon iRA 4051,E227-0001,"At time of power-on, the 24V port is off.",System Error,System,1. Disconnect and then connect the power supply harness connector. (J504/J3/J114); 2. Replace the Power Supply PCB (UN1).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:The reader unit power supply (24V) is faulty.
30,2026-02-02,Canon iRA 4051,E227-0002,"At the start of a job, the 24V port is off.",System Error,System,1. Disconnect and then connect the power supply harness connector.(J504/J3/J114); 2. Replace the Power Supply PCB (UN1).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:The reader unit power supply (24V) is faulty
31,2026-02-02,Canon iRA 4051,E227-0003,"At the end of a job, the 24V port is off.",System Error,System,1. Disconnect and then connect the power supply harness connector.(J504/J3/J114); 2. Replace the Power Supply PCB (UN1).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:The reader unit power supply (24V) is faulty
32,2026-02-02,Canon iRA 4051,E227-0004,"When a load is being driven, the 24V port is off.",System Error,System,1. Disconnect and then connect the power supply harness connector.(J504/J3/J114); 2. Replace the Power Supply PCB (UN1).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:The reader unit power supply (24V) is faulty
33,2026-02-02,Canon iRA 4051,E240-0000,The serial communication error such as parity error or overrun error is constantly detected.,Controller/PCB,Main Controller / DC Controller PCB,1. Check the Connectors.; 2. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Error in controller communication
34,2026-02-02,Canon iRA 4051,E240-0001,The serial communication error such as parity error or overrun error is detected while printing.,Controller/PCB,Main Controller / DC Controller PCB,1. Check the Connectors.; 2. Replace the DC Controller PCB (UN2).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Error in controller communication
35,2026-02-02,Canon iRA 4051,E246-0001,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
36,2026-02-02,Canon iRA 4051,E246-0002,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
37,2026-02-02,Canon iRA 4051,E246-0003,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
38,2026-02-02,Canon iRA 4051,E246-0005,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
39,2026-02-02,Canon iRA 4051,E247-0001,-,System Error,System,Contact to the sales companies.E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
40,2026-02-02,Canon iRA 4051,E247-0002,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
41,2026-02-02,Canon iRA 4051,E247-0003,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
42,2026-02-02,Canon iRA 4051,E247-0004,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
43,2026-02-02,Canon iRA 4051,E248-0000,SRAM check error when the power is turned ON.,System Error,System,Main Controller PCB; 2.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:SRAM error
44,2026-02-02,Canon iRA 4051,E248-0001,An error has occurred at power-on.,System Error,System,1. Disconnect and then connect the flexible cable(CCD unit- Reader Controller PCB (UN4)).; 2. Replace the flexible cable.; 3. Replace the CCD unit.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:EEPROM error of the CCD unit
45,2026-02-02,Canon iRA 4051,E248-0002,An error has occurred during write operation.,System Error,System,1. Disconnect and then connect the flexible cable(CCD unit-Reader Controller PCB (UN4)).; 2. Replace the flexible cable.; 3. Replace the CCD unit.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:EEPROM error of the CCD unit
46,2026-02-02,Canon iRA 4051,E248-0003,An error has occurred during read operation following write operation.,System Error,System,1. Disconnect and then connect the flexible cable(CCD unit-Reader Controller PCB (UN4)).; 2. Replace the flexible cable.; 3. Replace the CCD unit.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:EEPROM error of the CCD unit
47,2026-02-02,Canon iRA 4051,E261-0000,Zero Cross failed to be detected for 500ms or more while the relay was ON.* The same condition is detected after the error retry is performed.,System Error,System,1. Check the Connectors. (J113/J202); 2. Replace the Power supply PCB (UN1).; 3. Replace the DC Controller PCB (UN2). 7 7 7-7 7-7Error Code > Error Code > Error Code Details > E000 to E5F6 Error Code > Error Code > Error Code Details > E000 to E5F6E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Error in Zero Cross
48,2026-02-02,Canon iRA 4051,E280-0003,Reading error after writing.,Network/Communication,Network,1. Disconnect and then connect the flexible cable(Reader Controller PCB (UN4)-Main Controller PCB 2 (UN14)).; 2. Disconnect and then connect the flexible cable(CCD unit-Main Controller PCB 2 (UN14)).; 3. Replace the flexible cable.; 4. Replace the Reader Controller PCB (UN4).; 5. Replace the Main Controller PCB 2 (UN14).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:05; Title:Reading unit communication error
49,2026-02-02,Canon iRA 4051,E315-0007,JBIG encode error.,System Error,System,Replacement of the Main Controller PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
50,2026-02-02,Canon iRA 4051,E315-0025,ROTU hardware error.,System Error,System,Replacement of the Main Controller PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
51,2026-02-02,Canon iRA 4051,E315-0027,ROTU timeout error.,System Error,System,Replacement of the Main Controller PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
52,2026-02-02,Canon iRA 4051,E315-0033,MemFill hardware error.,System Error,System,Replacement of the Main Controller PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:MemFill hardware error
53,2026-02-02,Canon iRA 4051,E315-0035,MemFill timeout error.,System Error,System,Replacement of the Main Controller PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
54,2026-02-02,Canon iRA 4051,E315-0100,PrcOverRun error.,System Error,System,Replacement of the Main Controller PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
55,2026-02-02,Canon iRA 4051,E315-0500,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
56,2026-02-02,Canon iRA 4051,E315-0501,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
57,2026-02-02,Canon iRA 4051,E315-0510,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
58,2026-02-02,Canon iRA 4051,E315-0511,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
59,2026-02-02,Canon iRA 4051,E315-0520,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
60,2026-02-02,Canon iRA 4051,E315-0521,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
61,2026-02-02,Canon iRA 4051,E315-0530,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
62,2026-02-02,Canon iRA 4051,E315-0531,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
63,2026-02-02,Canon iRA 4051,E315-0540,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
64,2026-02-02,Canon iRA 4051,E315-0541,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
65,2026-02-02,Canon iRA 4051,E315-0550,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
66,2026-02-02,Canon iRA 4051,E315-0551,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
67,2026-02-02,Canon iRA 4051,E315-0560,Interruption does not occur although 2 minutes have passed after starting the operation.,System Error,System,jcdImage device.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
68,2026-02-02,Canon iRA 4051,E315-0561,Abnormal interruption is detected after starting the operation.,System Error,System,jcdImage device. E315 000d 00 Title Codec error Description JBIG decode errorRemedy; 1. Replace the SDRAM.; 2. Replace the HDD.; 3. Replace the Main Controller PCB. E315 000e 00 Title Codec error Description Soft decode error Remedy; 1. Replace the SDRAM.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Codec error
69,2026-02-02,Canon iRA 4051,E350-0000,-,System Error,System,Contact to the sales companies. 7 7 7-8 7-8Error Code > Error Code > Error Code Details > E000 to E5F6 Error Code > Error Code > Error Code Details > E000 to E5F6E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
70,2026-02-02,Canon iRA 4051,E350-0001,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
71,2026-02-02,Canon iRA 4051,E350-0002,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
72,2026-02-02,Canon iRA 4051,E350-0003,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
73,2026-02-02,Canon iRA 4051,E350-3000,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
74,2026-02-02,Canon iRA 4051,E351-0000,Main Controller PCB 2 communication error.,Controller/PCB,Main Controller / DC Controller PCB,1. Disconnect and then connect the connector of the Main Controller PCB; 2.; 2. Replace the Main Controller PCB; 2.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:Main Controller PCB 2 communication error
75,2026-02-02,Canon iRA 4051,E354-0001,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
76,2026-02-02,Canon iRA 4051,E354-0002,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
77,2026-02-02,Canon iRA 4051,E355-0001,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
78,2026-02-02,Canon iRA 4051,E355-0003,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
79,2026-02-02,Canon iRA 4051,E355-0004,-,System Error,System,Contact to the sales companies.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:00; Title:System error
80,2026-02-02,Canon iRA 4051,E400-0001,Check sum error occurs at the time of communication between the Reader Controller PCB and the DADF.,Controller/PCB,Main Controller / DC Controller PCB,1. Connection error between the DADF Driver PCB (PCB1) and the Reader Controller PCB (UN4).; 2. Failure of the DADF Driver PCB (PCB1).; 3. Failure of the Reader Controller PCB (UN4).E CodeDetail CodeLocation Item Description,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:Communication error between Reader Controller PCB (UN4)
81,2026-02-02,Canon iRA 4051,E400-0002,Reception status error occurs at the time of communication between the Reader Controller PCB and the DADF.,Controller/PCB,Main Controller / DC Controller PCB,1. Connection error between the DADF Driver PCB (PCB1) and the Reader Controller PCB (UN4).; 2. Failure of the DADF Driver PCB (PCB1).; 3. Failure of the Reader Controller PCB (UN4).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:Communication error between Reader Controller PCB (UN4)
82,2026-02-02,Canon iRA 4051,E400-0003,Reception interrupt error occurs at the time of communication between the Reader Controller PCB and the DADF.,Controller/PCB,Main Controller / DC Controller PCB,1. Connection error between the DADF Driver PCB (PCB1) and the Reader Controller PCB (UN4).; 2. Failure of the DADF Driver PCB (PCB1).; 3. Failure of the Reader Controller PCB (UN4).,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:Communication error between Reader Controller PCB (UN4)
83,2026-02-02,Canon iRA 4051,E413-0001,The sensing level of the release motor HP sensor (SR11) does not change within a specified period when the release motor (M2) is driven.,Motor,Motor,1. Replace the Release Motor HP Sensor (SR11).; 2. Replace the Release Motor (M2).; 3. Replace the ADF Driver PCB.,Y,Sumber: Canon Service Manual IR-4051/4045/4035/4025; Location:04; Title:Release Motor (M2) error
